step,qeco_qoe,qeco_delay,qeco_energy,qeco_drop,qeco_completion_rate,qeco_adapt_general_qoe,qeco_adapt_general_delay,qeco_adapt_general_energy,qeco_adapt_general_drop,qeco_adapt_general_completion_rate,qeco_adaptive_gate_qoe,qeco_adaptive_gate_delay,qeco_adaptive_gate_energy,qeco_adaptive_gate_drop,qeco_adaptive_gate_completion_rate,qeco_adapt2_qoe,qeco_adapt2_delay,qeco_adapt2_energy,qeco_adapt2_drop,qeco_adapt2_completion_rate
89,-2.38373876,9.02360411,8.33840037,27207.00000000,0.22533527,6.62541013,8.51983533,10.19922836,19452.00000000,0.44000461,6.51535409,8.53573165,10.18124929,19702.00000000,0.43658669,6.61564054,8.51960502,10.18648730,19460.00000000,0.43977430
90,-2.13776858,8.98563863,8.62243170,26674.00000000,0.23231451,6.62477474,8.52893419,10.16919604,19457.00000000,0.43982841,6.45434801,8.54667278,10.30973455,19704.00000000,0.43580346,6.61158301,8.52683250,10.15279820,19470.00000000,0.43945414
91,-4.26094242,9.03028642,22.10885554,11281.00000000,0.22701110,4.53923556,8.54451008,20.60498302,8683.00000000,0.41040266,5.07911581,8.44195700,19.71928425,8260.00000000,0.43794230,4.54513867,8.54281252,20.60119394,8680.00000000,0.41060637
92,-2.17498897,8.99842749,8.62330199,26883.00000000,0.23138724,6.50676933,8.53058948,10.12824167,19707.00000000,0.43634700,6.63696673,8.52424225,10.26047401,19492.00000000,0.43946627,6.51037807,8.52821554,10.09099470,19707.00000000,0.43634700
93,-1.80896202,8.98755253,6.80427339,33409.00000000,0.23273546,6.66908348,8.53842250,8.64964432,24369.00000000,0.43781577,6.72725959,8.53821992,8.52740667,24474.00000000,0.43887564,6.67743761,8.53784576,8.65899771,24361.00000000,0.43800032
94,-3.88937972,9.00446889,22.96200552,11088.00000000,0.23767618,3.72972270,8.60000000,22.33755039,8717.00000000,0.39591130,4.92821542,8.48301574,20.44152719,8172.00000000,0.43579122,3.75703424,8.59313929,22.18398137,8711.00000000,0.39632710
95,-1.70069658,8.97630517,6.88534681,33198.00000000,0.23480466,6.79204326,8.53541271,8.55346900,24457.00000000,0.44033044,6.78265580,8.53864640,8.61618149,24462.00000000,0.44011352,6.77325870,8.53749514,8.54687371,24476.00000000,0.43989565
96,-5.19776123,8.99228251,35.91556491,6453.00000000,0.24543966,5.68726758,8.56099274,19.86483270,4748.00000000,0.44415828,2.07235894,8.43417109,31.80115994,5209.00000000,0.39946968,5.66288674,8.56555842,19.87923332,4753.00000000,0.44357293
97,-4.74807297,8.95461318,34.89436988,6497.00000000,0.25535817,5.62037952,8.53270711,19.64623551,4933.00000000,0.44171571,-1.48252147,8.70327775,33.41013759,5843.00000000,0.32800460,5.57986649,8.53361249,19.60013249,4943.00000000,0.44058397
98,-1.88052365,8.97228096,8.86639676,26646.00000000,0.23855518,6.48720774,8.55330051,10.37465053,19701.00000000,0.43605084,6.76619045,8.52893252,10.27091617,19401.00000000,0.44147282,6.51614520,8.55060972,10.32588360,19679.00000000,0.43668060
99,-2.41526905,8.94788288,14.10461900,17479.00000000,0.24402059,6.31395087,8.56372507,14.60622446,13009.00000000,0.43834729,6.69791021,8.51988256,14.05585731,12820.00000000,0.44648331,6.33393818,8.56337967,14.60924972,12998.00000000,0.43882221
100,-1.37278270,8.40189125,52.37011971,1696.00000000,0.42722053,12.68722456,7.40695297,13.74536567,1194.00000000,0.59304703,1.02748325,8.13935574,50.98195701,1477.00000000,0.48284314,12.64692008,7.40967962,13.74803765,1197.00000000,0.59202454
